published_at,company,amount_usd,amount_raw,stage,location,description,investors,source,url,priority,score
2026-08-17,VastAdvisor,1000000.0,$1M,Safe,"Austin, TX",provider of an AI-powered organic growth platform for wealth management firms,,finsmes,https://www.finsmes.com/2026/08/vastadvisor-raises-1m-in-safe-funding.html,0,2
2026-08-14,Clarity Systems,4400000.0,$4.4M,Seed,"San Francisco, CA",retail fraud detection company,,finsmes,https://www.finsmes.com/2026/08/clarity-systems-raises-4-4m-in-seed-funding.html,0,0
2026-08-13,River Markets,8500000.0,$8.5m,Seed,New York City,financial infrastructure provider for prediction markets,Haun Ventures,finsmes,https://www.finsmes.com/2026/08/river-markets-raises-8-5m-in-seed-funding.html,1,5
2026-08-13,PointsKash,100000000.0,$100M,Undisclosed,"Scottsdale, AZ","financial technology, payments, loyalty rewards and digital commerce company","Hawk Capital Investors, LLC",finsmes,https://www.finsmes.com/2026/08/pointskash-receives-100m-investment-from-hawk-capital-investors.html,0,4
2026-08-13,Edge Focus,,an undisclosed amount,New,NYC,"provider of technology, capital, and access to consumer credit solutions","Atlas Merchant Capital LLC. The company intends to use the funds to support its hiring efforts, expand its proprietary credit technology, and support the contin",finsmes,https://www.finsmes.com/2026/08/edge-focus-closes-new-funding.html,0,3
2026-08-13,Databricks,5000000000.0,$5 billion,Strategic,"San Francisco, CA",Data and AI company,"Coatue, Blackstone, MGX, T. Rowe Price Associates, Inc., T. Rowe Price Investment Management, Inc., Sixth Street Growth, BOND, Clearlake Capital, Point72, Premj",finsmes,https://www.finsmes.com/2026/08/databricks-closes-5-billion-strategic-funding-at-190-billion-valuation.html,0,0
2026-08-13,Dimension,1650000.0,$1.65m,Seed,"Los Angeles, CA",social commerce technology company,,finsmes,https://www.finsmes.com/2026/08/dimension-raises-1-65m-in-seed-funding-2.html,0,0
2026-08-12,Chatham Financial,,an undisclosed amount,Strategic,"Kennett Square, PA",provider of independent capital markets advisory and financial technology solutions,,finsmes,https://www.finsmes.com/2026/08/chatham-financial-closes-funding.html,0,4
2026-08-12,Silicon Data,30500000.0,$30.5M,Series A,NYC,provider of a market intelligence platform for the AI compute economy,Valor Atreides AI Fund,finsmes,https://www.finsmes.com/2026/08/silicon-data-raises-30-5m-in-series-a-funding.html,0,3
2026-08-12,CodeRabbit,143000000.0,$143M,Series C,"San Francisco, CA",provider of an AI-powered code review and agentic change management platform,Atomico and Smash Capital,finsmes,https://www.finsmes.com/2026/08/coderabbit-raises-143m-in-series-c-funding.html,0,2
2026-08-12,Skan AI,63000000.0,$63M,Series C,"San Jose, CA",provider of an enterprise AI context graph platform,Cathay Innovation and Dell Technologies Capital,finsmes,https://www.finsmes.com/2026/08/skan-ai-raises-63m-in-series-c-funding.html,0,0
2026-08-12,Blacksmith,45000000.0,$45M,Series B,"San Francisco, CA",provider of a cloud platform for validating code,Peak XV Partners,finsmes,https://www.finsmes.com/2026/08/blacksmith-raises-45m-in-series-b-funding.html,0,0
2026-08-12,Mindgard,30000000.0,$30M,Series A,"Boston, MA and London, UK",AI security platform,"Album VC, Karma Ventures, .406 Ventures, Atlantic Bridge, IQ Capital, Lakestar",finsmes,https://www.finsmes.com/2026/08/mindgard-raises-30m-in-series-a-funding.html,0,0
2026-08-12,Digital Prime Technologies,,undisclosed,Strategic,"Jersey City, NJ",Institutional digital asset technology solutions,"LTP, EquiLend, Galaxy Digital, Marex",finsmes,https://www.finsmes.com/2026/08/digital-prime-technologies-receives-investment.html,0,0
2026-08-11,Axle,17500000.0,$17.5M,Series A,NYC,provider of an AI-native clearinghouse platform for insurance,Base10 Partners,finsmes,https://www.finsmes.com/2026/08/axle-raises-17-5m-in-series-a-funding.html,1,5
2026-08-11,ApartmentIQ,25000000.0,$25M,Series A,"Madison, Wisconsin","real-time market intelligence, revenue management, and AI platform for the multifamily industry",Susquehanna Growth Equity,finsmes,https://www.finsmes.com/2026/08/apartmentiq-receives-25m-investment-from-susquehanna-growth-equity.html,0,0
2026-08-11,Fazeshift,,undisclosed,Series B,"San Francisco, CA",AI-native platform deploying autonomous agents to execute end-to-end accounts receivable workflows,Amex Ventures,finsmes,https://www.finsmes.com/2026/08/fazeshift-receives-investment-from-amex-ventures.html,0,0
2026-08-10,Volta Infrastructure Holdings,300000000.0,$300M,Seed,"London, Palo Alto, CA and New York City",Vertically integrated AI infrastructure platform and NVIDIA Cloud Partner,"Azora, Andreessen Horowitz, Altimeter Capital, NVIDIA, Matter Venture Partners, Michael Dell's family office",finsmes,https://www.finsmes.com/2026/08/volta-infrastructure-raises-300m-in-combined-seed-and-series-a-funding.html,0,3
2026-08-10,Ambrook,30000000.0,$30m,Series B,"Denver, CO",provider of a financial management and bookkeeping platform built for industries in the “real economy”,former Stripe executive Lachy Groom,finsmes,https://www.finsmes.com/2026/08/ambrook-raises-30m-in-series-b-funding.html,0,2
2026-08-07,Fluxco,26000000.0,$26m,Seed,"Austin, Texas",developer of an AI-powered procurement platform for electrical grid infrastructure,8VC and Congruent Ventures,finsmes,https://www.finsmes.com/2026/08/fluxco-raises-26m-in-seed-funding.html,0,0
2026-08-06,Malachyte,10000000.0,$10M,Seed,NYC,provider of an intelligence platform developing real time individualization solutions,Bessemer Venture Partners and Gradient Ventures,finsmes,https://www.finsmes.com/2026/08/malachyte-raises-10m-in-seed-funding.html,0,3
2026-08-06,Syntasa,,undisclosed,Undisclosed,"McLean, VA",provider of a sovereign agentic AI and data platform,Verix Equity Partners,finsmes,https://www.finsmes.com/2026/08/syntasa-receives-investment-from-verix-equity-partners.html,0,2
2026-08-06,Vertical Insure,,an undisclosed amount,New,"Minneapolis, MN",provider of an embedded insurance platform for vertical SaaS,Updata Partners,finsmes,https://www.finsmes.com/2026/08/vertical-insure-closes-new-funding.html,0,2
2026-08-06,Lumilens,700000000.0,over $700M,Series C,"San Jose, CA",provider of a connectivity platform for AI infrastructure,"Atreides Management, Bain Capital Ventures, Meritech, Seligman Ventures, and Spark Capital",finsmes,https://www.finsmes.com/2026/08/lumilens-raises-over-700m-in-series-c-funding.html,0,0
2026-08-06,Sapiom,35000000.0,$35M,Series A,"San Francisco, CA",provider of a platform that specializes in AI agents management,Dragonfly,finsmes,https://www.finsmes.com/2026/08/sapiom-raises-35m-in-series-a-funding.html,0,0
2026-08-05,Bridge,500000000.0,$500M,Bridge,"New York, NY",AI-powered lending platform for CPG brands and retail suppliers,LuminArx Capital Management,finsmes,https://www.finsmes.com/2026/08/bridge-received-500m-from-luminarx-capital-management.html,1,8
2026-08-05,Advocate Technologies,18000000.0,$18m,Seed,NYC,provider of a commercial insurance benchmarking platform,,finsmes,https://www.finsmes.com/2026/08/advocate-technologies-raises-18m-in-seed-funding.html,1,5
2026-08-05,Pinegap,8000000.0,$8M,Series A,NYC,provider of an AI-powered equity research platform,Stellaris Venture Partners,finsmes,https://www.finsmes.com/2026/08/pinegap-raises-8m-in-series-a-funding.html,0,3
2026-08-05,Convex,57000000.0,$57M,Series B,"San Francisco, CA",reactive backend platform,Insight Partners,finsmes,https://www.finsmes.com/2026/08/convex-raises-57m-in-series-b-funding.html,0,0
2026-08-05,Multiplier,35000000.0,$35M,Series B,"San Francisco, CA",provider of a technology platform for professional-services firms,The General Partnership,finsmes,https://www.finsmes.com/2026/08/multiplier-raises-35m-in-series-b-funding.html,0,0
2026-08-05,Ordway,20000000.0,$20M,Debt,"Washington, DC",provider of a monetization and billing platform,Harbert Growth Partners with debt participation from Western Alliance Bank’s Innovation Banking Group,finsmes,https://www.finsmes.com/2026/08/ordway-raises-20m-in-funding.html,0,0
2026-08-05,Rivo,2700000.0,$2.7M,Seed,"San Francisco, CA",provider of an autonomous cash management platform,,finsmes,https://www.finsmes.com/2026/08/rivo-raises-2-7m-in-seed-funding.html,0,0
2026-08-04,HappyRobot,150000000.0,$150M,Series C,"San Francisco, CA",provider of an AI agent platform for enterprise operations,Prysm Capital and Eurazeo,finsmes,https://www.finsmes.com/2026/08/happyrobot-raises-150m-in-series-c-funding.html,0,0
2026-08-04,Obsidian Security,85000000.0,$85M,Series D,"Palo Alto, CA",provider of a platform securing non-human identities and AI agents across third-party applications,Crescent Cove Advisors,finsmes,https://www.finsmes.com/2026/08/obsidian-raises-85m-in-series-d-funding.html,0,0
2026-08-04,Yellow Card,40000000.0,$40M,Strategic,"Atlanta, GA",provider of a global stablecoin infrastructure platform,,finsmes,https://www.finsmes.com/2026/08/yellow-card-raises-40m-in-funding.html,0,0
2026-08-04,Maximum,30000000.0,$30M,Seed,"Miami, FL",provider of an AI-native operating system for banks,CRV,finsmes,https://www.finsmes.com/2026/08/maximum-raises-30m-in-seed-funding.html,0,0
2026-08-04,Delightree,25000000.0,$25M,Series A,"Denver, CO",AI operating system for franchise and multi-unit brands,"Innovius, Accel, Timber Grove Ventures, Emergent",finsmes,https://www.finsmes.com/2026/08/delightree-raises-25m-in-funding.html,0,0
2026-08-04,Pie,,undisclosed,Series A,"Boston, MA",AI-powered growth platform for small businesses,Amex Ventures,finsmes,https://www.finsmes.com/2026/08/pie-announces-investment-from-amex-ventures.html,0,0
2026-08-03,Marquee,4000000.0,$4m,Seed,NYC,developer of an AI-powered decision layer for professional sports organizations,,finsmes,https://www.finsmes.com/2026/08/marquee-raises-4m-in-seed-funding.html,0,3
2026-08-03,Balance Theory,19000000.0,$19M,Series A,"Columbia, MD",provider of an AI-native platform for cybersecurity investment decisions and execution,SYN Ventures,finsmes,https://www.finsmes.com/2026/08/balance-theory-raises-19m-in-series-a-funding.html,0,2
